id,name,link,osm_url,lat,lon,categories,bookable,link_ok,open_now,street,housenumber,postcode,city,address
node/4417239427,Trademax,https://trademax.se/,https://www.openstreetmap.org/node/4417239427,59.4225473,18.0478896,robot_mower_seller,,,,,,,,
node/4422261801,Larsons Järn,https://www.larsonsjarn.se/,https://www.openstreetmap.org/node/4422261801,66.3265918,22.8446184,robot_mower_seller,,,,,,,,
node/4428863838,Smarthem.se,https://www.smarthem.se/,https://www.openstreetmap.org/node/4428863838,58.5882663,16.2235565,robot_mower_seller,,,,Importgatan,30,60228,Norrköping,"Importgatan 30, 60228 Norrköping"
node/4504855178,NetOnNet,https://www.netonnet.se/content/lagershop/lagershop%20malm%C3%B6%20sv%C3%A5gertorp,https://www.openstreetmap.org/node/4504855178,55.5512448,12.9936741,robot_mower_seller,,,,Nornegatan,5,215 86,Malmö,"Nornegatan 5, 215 86 Malmö"
node/4524685764,Tools,https://www.tools.se/,https://www.openstreetmap.org/node/4524685764,59.3460007,18.0380667,robot_mower_seller,,,,,,,,
node/4649170946,Cramo,https://www.cramo.com/sv-SE/,https://www.openstreetmap.org/node/4649170946,58.3550021,11.9721206,robot_mower_seller,,,,,,,,
node/4724792475,Oscar Gustafsson Biredskap,http://www.ogtbiredskap.se/,https://www.openstreetmap.org/node/4724792475,57.1837786,12.2809616,robot_mower_seller,,,,,,,,
node/4735244898,Elon,https://www.elon.se/butiker/nynashamn/elon-nynashamn,https://www.openstreetmap.org/node/4735244898,58.9128532,17.9557675,robot_mower_seller,,,,Telivägen,2,14941,Nynäshamn,"Telivägen 2, 14941 Nynäshamn"
node/4736638781,Special Beslag,https://www.specialbeslag.se,https://www.openstreetmap.org/node/4736638781,57.7274982,11.9595529,robot_mower_seller,,,,Norra Deltavägen,3,,Göteborg,"Norra Deltavägen 3, Göteborg"
node/4754149823,Granngården,http://www.granngarden.se/store/Ängelholm,https://www.openstreetmap.org/node/4754149823,56.250154,12.8952621,robot_mower_seller,,,,,,,,
